order_id,order_date,channel,sku_id,sku_name,category,quantity,revenue,cost_price,total_cost,fee_rate,platform_fee,net_profit,net_margin_pct
ORD00001,2026-06-01,Shopee,SKU006,Trà hoa đậu biếc,An thần,1,32100.0,8800,8800,0.13,4173.0,19127.0,59.6
ORD00002,2026-06-01,Zalo/Fanpage,SKU006,Trà hoa đậu biếc,An thần,2,63200.0,8800,17600,0.0,0.0,45600.0,72.2
ORD00003,2026-06-01,Shopee,SKU001,Trà atiso thanh lọc,Thanh lọc,1,33100.0,9000,9000,0.13,4303.0,19797.0,59.8
ORD00004,2026-06-01,TikTok Shop,SKU004,Trà cà leo gai giảm cân,Detox,3,163600.0,15000,45000,0.16,26176.0,92424.0,56.5
ORD00005,2026-06-01,TikTok Shop,SKU003,Trà diếp cá rau má,Detox,2,79900.0,10500,21000,0.16,12784.0,46116.0,57.7
ORD00006,2026-06-01,Zalo/Fanpage,SKU007,Trà gừng mật ong,Giữ ấm,1,39900.0,11000,11000,0.0,0.0,28900.0,72.4
ORD00007,2026-06-01,Shopee,SKU002,Trà lá nam sen ổi,Thanh lọc,1,29800.0,8500,8500,0.13,3874.0,17426.0,58.5
ORD00008,2026-06-01,Shopee,SKU003,Trà diếp cá rau má,Detox,1,41400.0,10500,10500,0.13,5382.0,25518.0,61.6
ORD00009,2026-06-01,Zalo/Fanpage,SKU007,Trà gừng mật ong,Giữ ấm,2,74700.0,11000,22000,0.0,0.0,52700.0,70.5
ORD00010,2026-06-01,Đại lý,SKU001,Trà atiso thanh lọc,Thanh lọc,1,35400.0,9000,9000,0.0,0.0,26400.0,74.6
ORD00011,2026-06-01,TikTok Shop,SKU007,Trà gừng mật ong,Giữ ấm,2,75300.0,11000,22000,0.16,12048.0,41252.0,54.8
ORD00012,2026-06-01,Shopee,SKU005,Trà hoa cúc an thần,An thần,1,39100.0,9500,9500,0.13,5083.0,24517.0,62.7
ORD00013,2026-06-01,Zalo/Fanpage,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,2,68400.0,9800,19600,0.0,0.0,48800.0,71.3
ORD00014,2026-06-01,TikTok Shop,SKU003,Trà diếp cá rau má,Detox,1,40300.0,10500,10500,0.16,6448.0,23352.0,57.9
ORD00015,2026-06-01,TikTok Shop,SKU006,Trà hoa đậu biếc,An thần,3,101100.0,8800,26400,0.16,16176.0,58524.0,57.9
ORD00016,2026-06-01,TikTok Shop,SKU002,Trà lá nam sen ổi,Thanh lọc,3,90900.0,8500,25500,0.16,14544.0,50856.0,55.9
ORD00017,2026-06-01,TikTok Shop,SKU003,Trà diếp cá rau má,Detox,3,125500.0,10500,31500,0.16,20080.0,73920.0,58.9
ORD00018,2026-06-01,Shopee,SKU003,Trà diếp cá rau má,Detox,1,39700.0,10500,10500,0.13,5161.0,24039.0,60.6
ORD00019,2026-06-01,Shopee,SKU003,Trà diếp cá rau má,Detox,1,38900.0,10500,10500,0.13,5057.0,23343.0,60.0
ORD00020,2026-06-01,Đại lý,SKU005,Trà hoa cúc an thần,An thần,3,108800.0,9500,28500,0.0,0.0,80300.0,73.8
ORD00021,2026-06-02,TikTok Shop,SKU007,Trà gừng mật ong,Giữ ấm,3,116500.0,11000,33000,0.16,18640.0,64860.0,55.7
ORD00022,2026-06-02,Shopee,SKU003,Trà diếp cá rau má,Detox,2,82300.0,10500,21000,0.13,10699.0,50601.0,61.5
ORD00023,2026-06-02,Zalo/Fanpage,SKU004,Trà cà leo gai giảm cân,Detox,2,106000.0,15000,30000,0.0,0.0,76000.0,71.7
ORD00024,2026-06-02,Shopee,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,2,70100.0,9800,19600,0.13,9113.0,41387.0,59.0
ORD00025,2026-06-02,Zalo/Fanpage,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,1,35600.0,9800,9800,0.0,0.0,25800.0,72.5
ORD00026,2026-06-02,Zalo/Fanpage,SKU004,Trà cà leo gai giảm cân,Detox,1,52900.0,15000,15000,0.0,0.0,37900.0,71.6
ORD00027,2026-06-02,TikTok Shop,SKU004,Trà cà leo gai giảm cân,Detox,1,56500.0,15000,15000,0.16,9040.0,32460.0,57.5
ORD00028,2026-06-02,Zalo/Fanpage,SKU001,Trà atiso thanh lọc,Thanh lọc,3,97900.0,9000,27000,0.0,0.0,70900.0,72.4
ORD00029,2026-06-02,Zalo/Fanpage,SKU007,Trà gừng mật ong,Giữ ấm,3,114900.0,11000,33000,0.0,0.0,81900.0,71.3
ORD00030,2026-06-02,Shopee,SKU002,Trà lá nam sen ổi,Thanh lọc,1,32800.0,8500,8500,0.13,4264.0,20036.0,61.1
ORD00031,2026-06-02,Zalo/Fanpage,SKU002,Trà lá nam sen ổi,Thanh lọc,2,64200.0,8500,17000,0.0,0.0,47200.0,73.5
ORD00032,2026-06-02,TikTok Shop,SKU002,Trà lá nam sen ổi,Thanh lọc,3,91500.0,8500,25500,0.16,14640.0,51360.0,56.1
ORD00033,2026-06-02,TikTok Shop,SKU005,Trà hoa cúc an thần,An thần,1,36500.0,9500,9500,0.16,5840.0,21160.0,58.0
ORD00034,2026-06-02,Shopee,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,2,73500.0,9800,19600,0.13,9555.0,44345.0,60.3
ORD00035,2026-06-02,TikTok Shop,SKU004,Trà cà leo gai giảm cân,Detox,1,56200.0,15000,15000,0.16,8992.0,32208.0,57.3
ORD00036,2026-06-02,Zalo/Fanpage,SKU007,Trà gừng mật ong,Giữ ấm,1,37900.0,11000,11000,0.0,0.0,26900.0,71.0
ORD00037,2026-06-02,Shopee,SKU004,Trà cà leo gai giảm cân,Detox,1,51100.0,15000,15000,0.13,6643.0,29457.0,57.6
ORD00038,2026-06-02,TikTok Shop,SKU001,Trà atiso thanh lọc,Thanh lọc,2,70300.0,9000,18000,0.16,11248.0,41052.0,58.4
ORD00039,2026-06-02,Shopee,SKU004,Trà cà leo gai giảm cân,Detox,2,103200.0,15000,30000,0.13,13416.0,59784.0,57.9
ORD00040,2026-06-02,TikTok Shop,SKU005,Trà hoa cúc an thần,An thần,1,38800.0,9500,9500,0.16,6208.0,23092.0,59.5
ORD00041,2026-06-03,Zalo/Fanpage,SKU002,Trà lá nam sen ổi,Thanh lọc,1,30800.0,8500,8500,0.0,0.0,22300.0,72.4
ORD00042,2026-06-03,TikTok Shop,SKU003,Trà diếp cá rau má,Detox,2,81500.0,10500,21000,0.16,13040.0,47460.0,58.2
ORD00043,2026-06-03,Shopee,SKU001,Trà atiso thanh lọc,Thanh lọc,1,34500.0,9000,9000,0.13,4485.0,21015.0,60.9
ORD00044,2026-06-03,Shopee,SKU003,Trà diếp cá rau má,Detox,1,41900.0,10500,10500,0.13,5447.0,25953.0,61.9
ORD00045,2026-06-03,Shopee,SKU001,Trà atiso thanh lọc,Thanh lọc,1,35500.0,9000,9000,0.13,4615.0,21885.0,61.6
ORD00046,2026-06-03,Shopee,SKU003,Trà diếp cá rau má,Detox,3,122600.0,10500,31500,0.13,15938.0,75162.0,61.3
ORD00047,2026-06-03,TikTok Shop,SKU006,Trà hoa đậu biếc,An thần,2,66900.0,8800,17600,0.16,10704.0,38596.0,57.7
ORD00048,2026-06-03,Shopee,SKU004,Trà cà leo gai giảm cân,Detox,2,103500.0,15000,30000,0.13,13455.0,60045.0,58.0
ORD00049,2026-06-03,Shopee,SKU004,Trà cà leo gai giảm cân,Detox,2,106200.0,15000,30000,0.13,13806.0,62394.0,58.8
ORD00050,2026-06-03,Zalo/Fanpage,SKU001,Trà atiso thanh lọc,Thanh lọc,3,108000.0,9000,27000,0.0,0.0,81000.0,75.0
ORD00051,2026-06-03,Shopee,SKU004,Trà cà leo gai giảm cân,Detox,1,55400.0,15000,15000,0.13,7202.0,33198.0,59.9
ORD00052,2026-06-03,Shopee,SKU002,Trà lá nam sen ổi,Thanh lọc,2,62000.0,8500,17000,0.13,8060.0,36940.0,59.6
ORD00053,2026-06-03,Shopee,SKU003,Trà diếp cá rau má,Detox,1,42700.0,10500,10500,0.13,5551.0,26649.0,62.4
ORD00054,2026-06-03,Shopee,SKU007,Trà gừng mật ong,Giữ ấm,2,74500.0,11000,22000,0.13,9685.0,42815.0,57.5
ORD00055,2026-06-03,TikTok Shop,SKU004,Trà cà leo gai giảm cân,Detox,1,56500.0,15000,15000,0.16,9040.0,32460.0,57.5
ORD00056,2026-06-03,Đại lý,SKU007,Trà gừng mật ong,Giữ ấm,1,38600.0,11000,11000,0.0,0.0,27600.0,71.5
ORD00057,2026-06-03,TikTok Shop,SKU007,Trà gừng mật ong,Giữ ấm,1,37500.0,11000,11000,0.16,6000.0,20500.0,54.7
ORD00058,2026-06-03,Shopee,SKU003,Trà diếp cá rau má,Detox,2,79900.0,10500,21000,0.13,10387.0,48513.0,60.7
ORD00059,2026-06-03,TikTok Shop,SKU006,Trà hoa đậu biếc,An thần,2,67500.0,8800,17600,0.16,10800.0,39100.0,57.9
ORD00060,2026-06-03,TikTok Shop,SKU002,Trà lá nam sen ổi,Thanh lọc,1,32800.0,8500,8500,0.16,5248.0,19052.0,58.1
ORD00061,2026-06-03,TikTok Shop,SKU004,Trà cà leo gai giảm cân,Detox,3,157500.0,15000,45000,0.16,25200.0,87300.0,55.4
ORD00062,2026-06-03,Shopee,SKU004,Trà cà leo gai giảm cân,Detox,2,103100.0,15000,30000,0.13,13403.0,59697.0,57.9
ORD00063,2026-06-04,Shopee,SKU002,Trà lá nam sen ổi,Thanh lọc,2,59400.0,8500,17000,0.13,7722.0,34678.0,58.4
ORD00064,2026-06-04,Zalo/Fanpage,SKU004,Trà cà leo gai giảm cân,Detox,2,104200.0,15000,30000,0.0,0.0,74200.0,71.2
ORD00065,2026-06-04,TikTok Shop,SKU005,Trà hoa cúc an thần,An thần,2,75400.0,9500,19000,0.16,12064.0,44336.0,58.8
ORD00066,2026-06-04,TikTok Shop,SKU003,Trà diếp cá rau má,Detox,1,39600.0,10500,10500,0.16,6336.0,22764.0,57.5
ORD00067,2026-06-04,Zalo/Fanpage,SKU002,Trà lá nam sen ổi,Thanh lọc,2,59800.0,8500,17000,0.0,0.0,42800.0,71.6
ORD00068,2026-06-04,TikTok Shop,SKU004,Trà cà leo gai giảm cân,Detox,1,50700.0,15000,15000,0.16,8112.0,27588.0,54.4
ORD00069,2026-06-04,TikTok Shop,SKU004,Trà cà leo gai giảm cân,Detox,1,51000.0,15000,15000,0.16,8160.0,27840.0,54.6
ORD00070,2026-06-04,Shopee,SKU003,Trà diếp cá rau má,Detox,1,42700.0,10500,10500,0.13,5551.0,26649.0,62.4
ORD00071,2026-06-04,Zalo/Fanpage,SKU004,Trà cà leo gai giảm cân,Detox,1,53300.0,15000,15000,0.0,0.0,38300.0,71.9
ORD00072,2026-06-04,TikTok Shop,SKU003,Trà diếp cá rau má,Detox,3,123300.0,10500,31500,0.16,19728.0,72072.0,58.5
ORD00073,2026-06-04,TikTok Shop,SKU004,Trà cà leo gai giảm cân,Detox,3,153700.0,15000,45000,0.16,24592.0,84108.0,54.7
ORD00074,2026-06-04,Zalo/Fanpage,SKU002,Trà lá nam sen ổi,Thanh lọc,1,32100.0,8500,8500,0.0,0.0,23600.0,73.5
ORD00075,2026-06-04,Shopee,SKU003,Trà diếp cá rau má,Detox,1,42000.0,10500,10500,0.13,5460.0,26040.0,62.0
ORD00076,2026-06-04,Shopee,SKU005,Trà hoa cúc an thần,An thần,1,37100.0,9500,9500,0.13,4823.0,22777.0,61.4
ORD00077,2026-06-04,Shopee,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,1,33500.0,9800,9800,0.13,4355.0,19345.0,57.7
ORD00078,2026-06-04,Shopee,SKU003,Trà diếp cá rau má,Detox,1,40200.0,10500,10500,0.13,5226.0,24474.0,60.9
ORD00079,2026-06-04,Shopee,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,1,36100.0,9800,9800,0.13,4693.0,21607.0,59.9
ORD00080,2026-06-04,TikTok Shop,SKU004,Trà cà leo gai giảm cân,Detox,1,51300.0,15000,15000,0.16,8208.0,28092.0,54.8
ORD00081,2026-06-05,Đại lý,SKU005,Trà hoa cúc an thần,An thần,1,37400.0,9500,9500,0.0,0.0,27900.0,74.6
ORD00082,2026-06-05,Shopee,SKU002,Trà lá nam sen ổi,Thanh lọc,1,30700.0,8500,8500,0.13,3991.0,18209.0,59.3
ORD00083,2026-06-05,Đại lý,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,1,36700.0,9800,9800,0.0,0.0,26900.0,73.3
ORD00084,2026-06-05,Shopee,SKU003,Trà diếp cá rau má,Detox,1,40300.0,10500,10500,0.13,5239.0,24561.0,60.9
ORD00085,2026-06-05,TikTok Shop,SKU007,Trà gừng mật ong,Giữ ấm,2,80200.0,11000,22000,0.16,12832.0,45368.0,56.6
ORD00086,2026-06-05,Đại lý,SKU002,Trà lá nam sen ổi,Thanh lọc,1,32900.0,8500,8500,0.0,0.0,24400.0,74.2
ORD00087,2026-06-05,Zalo/Fanpage,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,1,33800.0,9800,9800,0.0,0.0,24000.0,71.0
ORD00088,2026-06-05,Đại lý,SKU007,Trà gừng mật ong,Giữ ấm,2,80700.0,11000,22000,0.0,0.0,58700.0,72.7
ORD00089,2026-06-05,Zalo/Fanpage,SKU007,Trà gừng mật ong,Giữ ấm,1,37500.0,11000,11000,0.0,0.0,26500.0,70.7
ORD00090,2026-06-05,Zalo/Fanpage,SKU004,Trà cà leo gai giảm cân,Detox,1,55800.0,15000,15000,0.0,0.0,40800.0,73.1
ORD00091,2026-06-05,Shopee,SKU007,Trà gừng mật ong,Giữ ấm,2,76700.0,11000,22000,0.13,9971.0,44729.0,58.3
ORD00092,2026-06-05,Zalo/Fanpage,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,1,33200.0,9800,9800,0.0,0.0,23400.0,70.5
ORD00093,2026-06-05,Shopee,SKU003,Trà diếp cá rau má,Detox,1,43100.0,10500,10500,0.13,5603.0,26997.0,62.6
ORD00094,2026-06-05,Shopee,SKU005,Trà hoa cúc an thần,An thần,2,75600.0,9500,19000,0.13,9828.0,46772.0,61.9
ORD00095,2026-06-05,Zalo/Fanpage,SKU003,Trà diếp cá rau má,Detox,1,39200.0,10500,10500,0.0,0.0,28700.0,73.2
ORD00096,2026-06-05,Đại lý,SKU002,Trà lá nam sen ổi,Thanh lọc,1,29600.0,8500,8500,0.0,0.0,21100.0,71.3
ORD00097,2026-06-05,TikTok Shop,SKU003,Trà diếp cá rau má,Detox,1,40700.0,10500,10500,0.16,6512.0,23688.0,58.2
ORD00098,2026-06-05,Đại lý,SKU001,Trà atiso thanh lọc,Thanh lọc,2,65900.0,9000,18000,0.0,0.0,47900.0,72.7
